,date,cases,new_cases,recovered,death,7_day_incidence,rel_change_in_7_day_incidence
0,2023-02-18,,,,,69.0,
1,2023-02-17,1424031.0,497.0,1411060.0,5508.0,73.3,14.0
2,2023-02-16,1423534.0,430.0,1410680.0,5520.0,71.3,12.5
3,2023-02-15,1423104.0,552.0,1410348.0,5522.0,70.8,10.0
4,2023-02-14,1422552.0,519.0,1409947.0,5510.0,71.7,7.6
5,2023-02-13,1422033.0,,1409400.0,5495.0,65.5,5.1
6,2023-02-12,,,,,65.5,4.1
7,2023-02-11,,,,,65.1,2.8
8,2023-02-10,1421288.0,427.0,1408576.0,5493.0,61.4,1.4
9,2023-02-09,1420861.0,400.0,1408220.0,5490.0,60.7,0.5
10,2023-02-08,1420461.0,533.0,1407781.0,5472.0,58.1,0.8
11,2023-02-07,1419928.0,472.0,1407202.0,5468.0,60.0,1.2
12,2023-02-06,1419456.0,,1406691.0,5459.0,59.5,0.6
13,2023-02-05,,,,,59.8,-1.2
14,2023-02-04,,,,,59.9,-2.7
15,2023-02-03,1418961.0,399.0,1405552.0,5451.0,59.3,-4.2
16,2023-02-02,1418562.0,260.0,1404956.0,5446.0,61.9,-4.6
17,2023-02-01,1418302.0,447.0,1404201.0,5444.0,60.6,-7.4
18,2023-01-31,1417855.0,551.0,1403316.0,5429.0,58.1,-11.2
19,2023-01-30,1417304.0,,1402274.0,5428.0,59.0,-13.7
20,2023-01-29,,,,,58.7,-18.4
21,2023-01-28,,,,,58.5,-21.2
22,2023-01-27,1416760.0,411.0,1400759.0,5424.0,60.5,-22.5
23,2023-01-26,1416349.0,470.0,1399779.0,5421.0,57.4,-25.0
24,2023-01-25,1415879.0,392.0,1398587.0,5409.0,59.6,-27.7
25,2023-01-24,1415487.0,440.0,1397216.0,5400.0,60.7,-30.9
26,2023-01-23,1415047.0,,1394838.0,5396.0,64.7,-35.2
27,2023-01-22,,,,,64.7,-38.7
28,2023-01-21,,,,,65.1,-39.4
29,2023-01-20,1414484.0,426.0,1394353.0,5392.0,63.7,-38.2
30,2023-01-19,1414058.0,372.0,1392891.0,5387.0,68.9,-37.0
31,2023-01-18,1413686.0,443.0,1391240.0,5385.0,75.3,-36.4
32,2023-01-17,1413243.0,469.0,1389473.0,5380.0,77.1,-36.7
33,2023-01-16,1412774.0,,1387076.0,5381.0,87.9,-40.1
34,2023-01-15,,,,,87.9,-37.5
35,2023-01-14,,,,,87.6,-34.0
36,2023-01-13,1412041.0,355.0,1384661.0,5373.0,96.5,-29.7
37,2023-01-12,1411686.0,432.0,1383165.0,5369.0,107.8,-26.5
38,2023-01-11,1411254.0,735.0,1381277.0,5365.0,118.2,-24.0
39,2023-01-10,1410519.0,590.0,1379234.0,5361.0,136.2,-21.8
40,2023-01-09,1409929.0,,1377099.0,5351.0,145.9,-19.3
41,2023-01-08,,,,,145.9,-22.6
42,2023-01-07,,,,,145.9,-23.8
43,2023-01-06,1408872.0,746.0,1374293.0,5343.0,156.3,-23.5
44,2023-01-05,1408126.0,954.0,1372788.0,5328.0,169.4,-22.6
45,2023-01-04,1407172.0,1102.0,1371357.0,5312.0,185.3,-21.9
46,2023-01-03,1406070.0,1428.0,1369801.0,5294.0,231.8,-22.1
47,2023-01-02,1404642.0,,1367978.0,5275.0,192.0,-23.6
48,2023-01-01,,,,,192.0,-22.2
49,2022-12-31,,,,,192.0,-20.0
50,2022-12-30,1403229.0,1069.0,1365447.0,5263.0,204.4,-17.1
51,2022-12-29,1402160.0,1693.0,1364112.0,5255.0,213.6,-14.2
52,2022-12-28,1400467.0,1770.0,1362837.0,5246.0,219.4,-10.5
53,2022-12-27,1398697.0,,1361258.0,5243.0,210.3,-5.6
54,2022-12-26,,,,,276.1,1.2
55,2022-12-25,,,,,276.1,4.1
56,2022-12-24,,,,,276.7,6.8
57,2022-12-23,1395933.0,1579.0,1357086.0,5236.0,278.1,9.4
58,2022-12-22,1394354.0,1700.0,1356154.0,5229.0,284.7,11.7
59,2022-12-21,1392654.0,2116.0,1355135.0,5223.0,296.6,13.3
60,2022-12-20,1390538.0,2581.0,1353960.0,5215.0,288.0,13.6
61,2022-12-19,1387957.0,,1352902.0,5201.0,293.0,14.2
62,2022-12-18,,,,,293.0,13.5
63,2022-12-17,,,,,293.1,12.1
64,2022-12-16,1386295.0,1786.0,1350894.0,5198.0,292.4,9.8
65,2022-12-15,1384509.0,2438.0,1349869.0,5193.0,279.2,7.7
66,2022-12-14,1382071.0,2371.0,1348928.0,5182.0,265.0,6.9
67,2022-12-13,1379700.0,1940.0,1348154.0,5173.0,255.5,7.7
68,2022-12-12,1377760.0,,1346866.0,5176.0,247.8,10.6
69,2022-12-11,,,,,247.9,15.5
70,2022-12-10,,,,,247.6,19.7
71,2022-12-09,1375261.0,1470.0,1344755.0,5178.0,245.6,23.2
72,2022-12-08,1373791.0,1515.0,1343829.0,5174.0,244.8,26.1
73,2022-12-07,1372276.0,2023.0,1342817.0,5165.0,240.8,28.6
74,2022-12-06,1370253.0,2162.0,1341604.0,5161.0,240.0,31.6
75,2022-12-05,1368091.0,,1340177.0,5155.0,240.1,32.5
76,2022-12-04,,,,,240.0,31.6
77,2022-12-03,,,,,240.1,28.4
78,2022-12-02,1366155.0,1435.0,1337780.0,5148.0,228.7,22.8
79,2022-12-01,1364720.0,1524.0,1336749.0,5145.0,220.7,17.5
80,2022-11-30,1363196.0,1621.0,1335593.0,5144.0,209.2,11.7
81,2022-11-29,1361575.0,1970.0,1334342.0,5139.0,188.3,4.7
82,2022-11-28,1359605.0,,1332436.0,5135.0,168.5,-0.1
83,2022-11-27,,,,,168.6,-3.4
84,2022-11-26,,,,,168.8,-6.3
85,2022-11-25,1357538.0,1239.0,1329506.0,5130.0,167.9,-8.7
86,2022-11-24,1356299.0,998.0,1327973.0,5123.0,163.3,-11.4
87,2022-11-23,1355301.0,1355.0,1326212.0,5105.0,154.8,-13.3
88,2022-11-22,1353946.0,1313.0,1324016.0,5098.0,160.2,-14.2
89,2022-11-21,1352633.0,,1321338.0,5089.0,161.4,-15.9
90,2022-11-20,,,,,161.4,-18.4
91,2022-11-19,,,,,161.7,-19.7
92,2022-11-18,1351254.0,1063.0,1317430.0,5080.0,157.9,-19.9
93,2022-11-17,1350191.0,1494.0,1315242.0,5071.0,159.5,-19.8
94,2022-11-16,1348697.0,1002.0,1312271.0,5040.0,172.3,-20.4
95,2022-11-15,1347695.0,1178.0,1309290.0,5038.0,177.3,-22.7
96,2022-11-14,1346517.0,,1305793.0,5029.0,186.6,-25.6
97,2022-11-13,,,,,187.0,-28.7
98,2022-11-12,,,,,187.8,-29.7
99,2022-11-11,1344929.0,1047.0,1301165.0,5024.0,194.9,-29.4
100,2022-11-10,1343882.0,1153.0,1298581.0,5017.0,200.1,-29.3
101,2022-11-09,1342729.0,1395.0,1295811.0,5007.0,205.3,-29.3
102,2022-11-08,1341334.0,1565.0,1293095.0,4990.0,216.6,-29.2
103,2022-11-07,1339769.0,,1289193.0,4978.0,235.2,-29.6
104,2022-11-06,,,,,234.9,-30.1
105,2022-11-05,,,,,235.5,-29.1
106,2022-11-04,1337757.0,1064.0,1284142.0,4970.0,246.6,-27.0
107,2022-11-03,1336693.0,1410.0,1280906.0,4965.0,267.3,-24.5
108,2022-11-02,1335283.0,1516.0,1277928.0,4960.0,293.0,-22.2
109,2022-11-01,1333767.0,2103.0,1274627.0,4952.0,318.7,-19.5
110,2022-10-31,1331664.0,,1270768.0,4941.0,341.4,-17.2
111,2022-10-30,,,,,341.6,-15.4
112,2022-10-29,,,,,343.6,-13.1
113,2022-10-28,1329130.0,1544.0,1268997.0,4927.0,364.8,-9.9
114,2022-10-27,1327586.0,2672.0,1266610.0,4922.0,385.7,-7.7
115,2022-10-26,1324914.0,2264.0,1264781.0,4915.0,406.3,-5.9
116,2022-10-25,1322650.0,3553.0,1262747.0,4910.0,436.1,-4.9
117,2022-10-24,1319097.0,,1260452.0,4895.0,455.6,-4.6
118,2022-10-23,,,,,455.7,0.2
119,2022-10-22,,,,,456.7,4.5
120,2022-10-21,1315465.0,1837.0,1257587.0,4885.0,464.7,8.3
121,2022-10-20,1313628.0,2999.0,1256259.0,4882.0,471.2,12.5
122,2022-10-19,1310629.0,4059.0,1254757.0,4877.0,462.0,17.9
123,2022-10-18,1306570.0,3881.0,1253156.0,4876.0,464.5,24.9
124,2022-10-17,1302689.0,,1251543.0,4868.0,470.8,33.7
125,2022-10-16,,,,,470.8,37.6
126,2022-10-15,,,,,466.3,40.5
127,2022-10-14,1299385.0,2506.0,1249179.0,4863.0,483.1,42.5
128,2022-10-13,1296879.0,3141.0,1248134.0,4859.0,486.9,42.7
129,2022-10-12,1293738.0,3485.0,1246797.0,4854.0,499.7,39.5
130,2022-10-11,1290253.0,4314.0,1245393.0,4854.0,496.2,32.2
131,2022-10-10,1285939.0,,1243652.0,4849.0,377.0,23.4
132,2022-10-09,,,,,377.4,24.3
133,2022-10-08,,,,,379.6,23.1
134,2022-10-07,1282046.0,3345.0,1240889.0,4845.0,355.9,19.7
135,2022-10-06,1278701.0,3165.0,1239632.0,4843.0,315.8,17.4
136,2022-10-05,1275536.0,3707.0,1238329.0,4839.0,285.0,17.8
137,2022-10-04,1271829.0,,1236881.0,4838.0,243.8,20.8
138,2022-10-03,,,,,311.5,27.8
139,2022-10-02,,,,,311.0,26.6
140,2022-10-01,,,,,310.7,23.6
141,2022-09-30,1268230.0,2554.0,1233068.0,4834.0,285.7,18.2
142,2022-09-29,1265676.0,1654.0,1231829.0,4830.0,283.6,14.0
143,2022-09-28,1264022.0,2184.0,1230509.0,4827.0,268.4,9.2
144,2022-09-27,1261838.0,2215.0,1229093.0,4824.0,245.2,5.1
