Date,Consolidated,Not_consolidated
"Mar 1, 2020",6,
"Mar 2, 2020",4,
"Mar 3, 2020",2,
"Mar 4, 2020",5,
"Mar 5, 2020",2,
"Mar 6, 2020",9,
"Mar 7, 2020",5,
"Mar 8, 2020",6,
"Mar 9, 2020",12,
"Mar 10, 2020",13,
"Mar 11, 2020",19,
"Mar 12, 2020",35,
"Mar 13, 2020",40,
"Mar 14, 2020",30,
"Mar 15, 2020",28,
"Mar 16, 2020",62,
"Mar 17, 2020",29,
"Mar 18, 2020",58,
"Mar 19, 2020",55,
"Mar 20, 2020",69,
"Mar 21, 2020",44,
"Mar 22, 2020",63,
"Mar 23, 2020",116,
"Mar 24, 2020",122,
"Mar 25, 2020",142,
"Mar 26, 2020",149,
"Mar 27, 2020",185,
"Mar 28, 2020",147,
"Mar 29, 2020",93,
"Mar 30, 2020",138,
"Mar 31, 2020",178,
"Apr 1, 2020",146,
"Apr 2, 2020",155,
"Apr 3, 2020",167,
"Apr 4, 2020",102,
"Apr 5, 2020",82,
"Apr 6, 2020",169,
"Apr 7, 2020",140,
"Apr 8, 2020",174,
"Apr 9, 2020",162,
"Apr 10, 2020",141,
"Apr 11, 2020",74,
"Apr 12, 2020",60,
"Apr 13, 2020",73,
"Apr 14, 2020",182,
"Apr 15, 2020",138,
"Apr 16, 2020",191,
"Apr 17, 2020",192,
"Apr 18, 2020",47,
"Apr 19, 2020",36,
"Apr 20, 2020",151,
"Apr 21, 2020",114,
"Apr 22, 2020",64,
"Apr 23, 2020",91,
"Apr 24, 2020",164,
"Apr 25, 2020",32,
"Apr 26, 2020",13,
"Apr 27, 2020",88,
"Apr 28, 2020",41,
"Apr 29, 2020",67,
"Apr 30, 2020",62,
"May 1, 2020",11,
"May 2, 2020",18,
"May 3, 2020",15,
"May 4, 2020",61,
"May 5, 2020",62,
"May 6, 2020",48,
"May 7, 2020",43,
"May 8, 2020",33,
"May 9, 2020",28,
"May 10, 2020",12,
"May 11, 2020",31,
"May 12, 2020",31,
"May 13, 2020",33,
"May 14, 2020",41,
"May 15, 2020",25,
"May 16, 2020",19,
"May 17, 2020",7,
"May 18, 2020",32,
"May 19, 2020",35,
"May 20, 2020",31,
"May 21, 2020",12,
"May 22, 2020",27,
"May 23, 2020",11,
"May 24, 2020",7,
"May 25, 2020",31,
"May 26, 2020",18,
"May 27, 2020",23,
"May 28, 2020",10,
"May 29, 2020",30,
"May 30, 2020",7,
"May 31, 2020",5,
"Jun 1, 2020",7,
"Jun 2, 2020",23,
"Jun 3, 2020",23,
"Jun 4, 2020",23,
"Jun 5, 2020",24,
"Jun 6, 2020",4,
"Jun 7, 2020",5,
"Jun 8, 2020",22,
"Jun 9, 2020",25,
"Jun 10, 2020",20,
"Jun 11, 2020",15,
"Jun 12, 2020",19,
"Jun 13, 2020",6,
"Jun 14, 2020",2,
"Jun 15, 2020",18,
"Jun 16, 2020",11,
"Jun 17, 2020",7,
"Jun 18, 2020",18,
"Jun 19, 2020",19,
"Jun 20, 2020",3,
"Jun 22, 2020",17,
"Jun 23, 2020",14,
"Jun 24, 2020",8,
"Jun 25, 2020",9,
"Jun 26, 2020",23,
"Jun 27, 2020",7,
"Jun 29, 2020",29,
"Jun 30, 2020",23,
"Jul 1, 2020",22,
"Jul 2, 2020",22,
"Jul 3, 2020",10,
"Jul 4, 2020",3,
"Jul 5, 2020",1,
"Jul 6, 2020",23,
"Jul 7, 2020",8,
"Jul 8, 2020",13,
"Jul 9, 2020",28,
"Jul 10, 2020",19,
"Jul 11, 2020",2,
"Jul 12, 2020",4,
"Jul 13, 2020",27,
"Jul 14, 2020",30,
"Jul 15, 2020",25,
"Jul 16, 2020",23,
"Jul 17, 2020",18,
"Jul 18, 2020",9,
"Jul 19, 2020",2,
"Jul 20, 2020",27,
"Jul 21, 2020",9,
