areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
ltla,Cardiff,W06000015,2023-05-04,,,28,,3,
ltla,Cardiff,W06000015,2023-05-03,0,107239,0,101165,0,6074
ltla,Cardiff,W06000015,2023-05-02,3,107239,3,101165,0,6074
ltla,Cardiff,W06000015,2023-05-01,3,107236,3,101162,0,6074
ltla,Cardiff,W06000015,2023-04-30,0,107233,0,101159,0,6074
ltla,Cardiff,W06000015,2023-04-29,7,107233,6,101159,1,6074
ltla,Cardiff,W06000015,2023-04-28,6,107226,6,101153,0,6073
ltla,Cardiff,W06000015,2023-04-27,4,107220,30,101147,3,6073
ltla,Cardiff,W06000015,2023-04-26,7,107216,6,101144,1,6072
ltla,Cardiff,W06000015,2023-04-25,2,107209,2,101138,0,6071
ltla,Cardiff,W06000015,2023-04-24,5,107207,4,101136,1,6071
ltla,Cardiff,W06000015,2023-04-23,5,107202,5,101132,0,6070
ltla,Cardiff,W06000015,2023-04-22,7,107197,7,101127,0,6070
ltla,Cardiff,W06000015,2023-04-21,3,107190,2,101120,1,6070
ltla,Cardiff,W06000015,2023-04-20,6,107187,5,101118,5,6069
ltla,Cardiff,W06000015,2023-04-19,2,107181,2,101113,0,6068
ltla,Cardiff,W06000015,2023-04-18,6,107179,6,101111,0,6068
ltla,Cardiff,W06000015,2023-04-17,5,107173,5,101105,0,6068
ltla,Cardiff,W06000015,2023-04-16,7,107168,5,101100,2,6068
ltla,Cardiff,W06000015,2023-04-15,5,107161,4,101095,1,6066
ltla,Cardiff,W06000015,2023-04-14,3,107156,3,101091,0,6065
ltla,Cardiff,W06000015,2023-04-13,3,107153,3,101088,11,6065
ltla,Cardiff,W06000015,2023-04-12,10,107150,8,101085,2,6065
ltla,Cardiff,W06000015,2023-04-11,7,107140,5,101077,2,6063
ltla,Cardiff,W06000015,2023-04-10,4,107133,3,101072,1,6061
ltla,Cardiff,W06000015,2023-04-09,4,107129,4,101069,0,6060
ltla,Cardiff,W06000015,2023-04-08,3,107125,2,101065,1,6060
ltla,Cardiff,W06000015,2023-04-07,4,107122,3,101063,1,6059
ltla,Cardiff,W06000015,2023-04-06,7,107118,5,101060,25,6058
ltla,Cardiff,W06000015,2023-04-05,11,107111,8,101055,3,6056
ltla,Cardiff,W06000015,2023-04-04,8,107100,5,101047,3,6053
ltla,Cardiff,W06000015,2023-04-03,11,107092,8,101042,3,6050
ltla,Cardiff,W06000015,2023-04-02,7,107081,4,101034,3,6047
ltla,Cardiff,W06000015,2023-04-01,8,107074,3,101030,5,6044
ltla,Cardiff,W06000015,2023-03-31,11,107066,7,101027,4,6039
ltla,Cardiff,W06000015,2023-03-30,10,107055,8,101020,23,6035
ltla,Cardiff,W06000015,2023-03-29,14,107045,11,101012,3,6033
ltla,Cardiff,W06000015,2023-03-28,14,107031,8,101001,6,6030
ltla,Cardiff,W06000015,2023-03-27,18,107017,14,100993,4,6024
ltla,Cardiff,W06000015,2023-03-26,10,106999,10,100979,0,6020
ltla,Cardiff,W06000015,2023-03-25,11,106989,8,100969,3,6020
