areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
ltla,Dundee City,S12000042,2023-04-16,1,58997,1,54102,0,4895
ltla,Dundee City,S12000042,2023-04-15,4,58996,3,54101,1,4895
ltla,Dundee City,S12000042,2023-04-14,2,58992,1,54098,1,4894
ltla,Dundee City,S12000042,2023-04-13,6,58990,4,54097,2,4893
ltla,Dundee City,S12000042,2023-04-12,5,58984,3,54093,2,4891
ltla,Dundee City,S12000042,2023-04-11,4,58979,2,54090,2,4889
ltla,Dundee City,S12000042,2023-04-10,3,58975,3,54088,0,4887
ltla,Dundee City,S12000042,2023-04-09,3,58972,3,54085,0,4887
ltla,Dundee City,S12000042,2023-04-08,5,58969,2,54082,3,4887
ltla,Dundee City,S12000042,2023-04-07,11,58964,6,54080,5,4884
ltla,Dundee City,S12000042,2023-04-06,8,58953,5,54074,3,4879
ltla,Dundee City,S12000042,2023-04-05,5,58945,2,54069,3,4876
ltla,Dundee City,S12000042,2023-04-04,3,58940,0,54067,3,4873
ltla,Dundee City,S12000042,2023-04-03,2,58937,1,54067,1,4870
ltla,Dundee City,S12000042,2023-04-02,10,58935,5,54066,5,4869
ltla,Dundee City,S12000042,2023-04-01,5,58925,2,54061,3,4864
ltla,Dundee City,S12000042,2023-03-31,3,58920,2,54059,1,4861
ltla,Dundee City,S12000042,2023-03-30,6,58917,2,54057,4,4860
ltla,Dundee City,S12000042,2023-03-29,8,58911,2,54055,6,4856
ltla,Dundee City,S12000042,2023-03-28,4,58903,2,54053,2,4850
ltla,Dundee City,S12000042,2023-03-27,9,58899,4,54051,5,4848
ltla,Dundee City,S12000042,2023-03-26,4,58890,1,54047,3,4843
ltla,Dundee City,S12000042,2023-03-25,3,58886,3,54046,0,4840
ltla,Dundee City,S12000042,2023-03-24,8,58883,4,54043,4,4840
ltla,Dundee City,S12000042,2023-03-23,12,58875,9,54039,3,4836
ltla,Dundee City,S12000042,2023-03-22,6,58863,5,54030,1,4833
ltla,Dundee City,S12000042,2023-03-21,6,58857,5,54025,1,4832
ltla,Dundee City,S12000042,2023-03-20,11,58851,9,54020,2,4831
ltla,Dundee City,S12000042,2023-03-19,9,58840,7,54011,2,4829
ltla,Dundee City,S12000042,2023-03-18,11,58831,7,54004,4,4827
ltla,Dundee City,S12000042,2023-03-17,5,58820,3,53997,2,4823
ltla,Dundee City,S12000042,2023-03-16,3,58815,2,53994,1,4821
ltla,Dundee City,S12000042,2023-03-15,14,58812,8,53992,6,4820
ltla,Dundee City,S12000042,2023-03-14,11,58798,8,53984,3,4814
ltla,Dundee City,S12000042,2023-03-13,5,58787,2,53976,3,4811
ltla,Dundee City,S12000042,2023-03-12,2,58782,1,53974,1,4808
ltla,Dundee City,S12000042,2023-03-11,9,58780,6,53973,3,4807
ltla,Dundee City,S12000042,2023-03-10,4,58771,3,53967,1,4804
ltla,Dundee City,S12000042,2023-03-09,7,58767,4,53964,3,4803
ltla,Dundee City,S12000042,2023-03-08,7,58760,3,53960,4,4800
ltla,Dundee City,S12000042,2023-03-07,8,58753,6,53957,2,4796
ltla,Dundee City,S12000042,2023-03-06,5,58745,4,53951,1,4794
ltla,Dundee City,S12000042,2023-03-05,4,58740,4,53947,0,4793
ltla,Dundee City,S12000042,2023-03-04,2,58736,2,53943,0,4793
ltla,Dundee City,S12000042,2023-03-03,6,58734,3,53941,3,4793
ltla,Dundee City,S12000042,2023-03-02,9,58728,6,53938,3,4790
ltla,Dundee City,S12000042,2023-03-01,13,58719,5,53932,8,4787
ltla,Dundee City,S12000042,2023-02-28,9,58706,6,53927,3,4779
ltla,Dundee City,S12000042,2023-02-27,8,58697,2,53921,6,4776
ltla,Dundee City,S12000042,2023-02-26,11,58689,9,53919,2,4770
ltla,Dundee City,S12000042,2023-02-25,5,58678,3,53910,2,4768
ltla,Dundee City,S12000042,2023-02-24,7,58673,7,53907,0,4766
ltla,Dundee City,S12000042,2023-02-23,5,58666,4,53900,1,4766
ltla,Dundee City,S12000042,2023-02-22,10,58661,8,53896,2,4765
ltla,Dundee City,S12000042,2023-02-21,8,58651,5,53888,3,4763
ltla,Dundee City,S12000042,2023-02-20,8,58643,4,53883,4,4760
ltla,Dundee City,S12000042,2023-02-19,2,58635,1,53879,1,4756
ltla,Dundee City,S12000042,2023-02-18,6,58633,3,53878,3,4755
ltla,Dundee City,S12000042,2023-02-17,5,58627,3,53875,2,4752
ltla,Dundee City,S12000042,2023-02-16,9,58622,5,53872,4,4750
ltla,Dundee City,S12000042,2023-02-15,8,58613,5,53867,3,4746
ltla,Dundee City,S12000042,2023-02-14,8,58605,3,53862,5,4743
ltla,Dundee City,S12000042,2023-02-13,13,58597,9,53859,4,4738
ltla,Dundee City,S12000042,2023-02-12,9,58584,5,53850,4,4734
ltla,Dundee City,S12000042,2023-02-11,10,58575,9,53845,1,4730
ltla,Dundee City,S12000042,2023-02-10,8,58565,6,53836,2,4729
ltla,Dundee City,S12000042,2023-02-09,3,58557,3,53830,0,4727
ltla,Dundee City,S12000042,2023-02-08,9,58554,5,53827,4,4727
ltla,Dundee City,S12000042,2023-02-07,11,58545,9,53822,2,4723
ltla,Dundee City,S12000042,2023-02-06,13,58534,8,53813,5,4721
ltla,Dundee City,S12000042,2023-02-05,8,58521,7,53805,1,4716
ltla,Dundee City,S12000042,2023-02-04,10,58513,6,53798,4,4715
ltla,Dundee City,S12000042,2023-02-03,5,58503,5,53792,0,4711
ltla,Dundee City,S12000042,2023-02-02,11,58498,8,53787,3,4711
ltla,Dundee City,S12000042,2023-02-01,8,58487,6,53779,2,4708
ltla,Dundee City,S12000042,2023-01-31,4,58479,3,53773,1,4706
ltla,Dundee City,S12000042,2023-01-30,5,58475,3,53770,2,4705
ltla,Dundee City,S12000042,2023-01-29,6,58470,4,53767,2,4703
ltla,Dundee City,S12000042,2023-01-28,3,58464,0,53763,3,4701
ltla,Dundee City,S12000042,2023-01-27,3,58461,1,53763,2,4698
ltla,Dundee City,S12000042,2023-01-26,9,58458,4,53762,5,4696
ltla,Dundee City,S12000042,2023-01-25,5,58449,2,53758,3,4691
ltla,Dundee City,S12000042,2023-01-24,5,58444,4,53756,1,4688
ltla,Dundee City,S12000042,2023-01-23,12,58439,8,53752,4,4687
ltla,Dundee City,S12000042,2023-01-22,2,58427,1,53744,1,4683
ltla,Dundee City,S12000042,2023-01-21,3,58425,2,53743,1,4682
ltla,Dundee City,S12000042,2023-01-20,1,58422,1,53741,0,4681
ltla,Dundee City,S12000042,2023-01-19,5,58421,3,53740,2,4681
ltla,Dundee City,S12000042,2023-01-18,6,58416,4,53737,2,4679
ltla,Dundee City,S12000042,2023-01-17,7,58410,4,53733,3,4677
ltla,Dundee City,S12000042,2023-01-16,6,58403,4,53729,2,4674
ltla,Dundee City,S12000042,2023-01-15,5,58397,3,53725,2,4672
ltla,Dundee City,S12000042,2023-01-14,6,58392,6,53722,0,4670
ltla,Dundee City,S12000042,2023-01-13,4,58386,2,53716,2,4670
ltla,Dundee City,S12000042,2023-01-12,5,58382,4,53714,1,4668
