areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
ltla,City of Edinburgh,S12000036,2023-04-16,12,206010,6,192133,6,13877
ltla,City of Edinburgh,S12000036,2023-04-15,16,205998,9,192127,7,13871
ltla,City of Edinburgh,S12000036,2023-04-14,19,205982,15,192118,4,13864
ltla,City of Edinburgh,S12000036,2023-04-13,22,205963,16,192103,6,13860
ltla,City of Edinburgh,S12000036,2023-04-12,18,205941,12,192087,6,13854
ltla,City of Edinburgh,S12000036,2023-04-11,32,205923,20,192075,12,13848
ltla,City of Edinburgh,S12000036,2023-04-10,24,205891,14,192055,10,13836
ltla,City of Edinburgh,S12000036,2023-04-09,22,205867,8,192041,14,13826
ltla,City of Edinburgh,S12000036,2023-04-08,22,205845,15,192033,7,13812
ltla,City of Edinburgh,S12000036,2023-04-07,20,205823,13,192018,7,13805
ltla,City of Edinburgh,S12000036,2023-04-06,26,205803,20,192005,6,13798
ltla,City of Edinburgh,S12000036,2023-04-05,25,205777,13,191985,12,13792
ltla,City of Edinburgh,S12000036,2023-04-04,26,205752,17,191972,9,13780
ltla,City of Edinburgh,S12000036,2023-04-03,40,205726,27,191955,13,13771
ltla,City of Edinburgh,S12000036,2023-04-02,20,205686,16,191928,4,13758
ltla,City of Edinburgh,S12000036,2023-04-01,22,205666,16,191912,6,13754
ltla,City of Edinburgh,S12000036,2023-03-31,35,205644,22,191896,13,13748
ltla,City of Edinburgh,S12000036,2023-03-30,28,205609,24,191874,4,13735
ltla,City of Edinburgh,S12000036,2023-03-29,33,205581,24,191850,9,13731
ltla,City of Edinburgh,S12000036,2023-03-28,39,205548,22,191826,17,13722
ltla,City of Edinburgh,S12000036,2023-03-27,36,205509,24,191804,12,13705
ltla,City of Edinburgh,S12000036,2023-03-26,19,205473,15,191780,4,13693
ltla,City of Edinburgh,S12000036,2023-03-25,28,205454,17,191765,11,13689
ltla,City of Edinburgh,S12000036,2023-03-24,40,205426,31,191748,9,13678
ltla,City of Edinburgh,S12000036,2023-03-23,41,205386,32,191717,9,13669
ltla,City of Edinburgh,S12000036,2023-03-22,49,205345,33,191685,16,13660
ltla,City of Edinburgh,S12000036,2023-03-21,42,205296,26,191652,16,13644
ltla,City of Edinburgh,S12000036,2023-03-20,39,205254,24,191626,15,13628
ltla,City of Edinburgh,S12000036,2023-03-19,26,205215,19,191602,7,13613
ltla,City of Edinburgh,S12000036,2023-03-18,25,205189,16,191583,9,13606
ltla,City of Edinburgh,S12000036,2023-03-17,37,205164,22,191567,15,13597
ltla,City of Edinburgh,S12000036,2023-03-16,55,205127,38,191545,17,13582
ltla,City of Edinburgh,S12000036,2023-03-15,29,205072,17,191507,12,13565
ltla,City of Edinburgh,S12000036,2023-03-14,33,205043,27,191490,6,13553
ltla,City of Edinburgh,S12000036,2023-03-13,44,205010,25,191463,19,13547
ltla,City of Edinburgh,S12000036,2023-03-12,27,204966,17,191438,10,13528
ltla,City of Edinburgh,S12000036,2023-03-11,27,204939,20,191421,7,13518
ltla,City of Edinburgh,S12000036,2023-03-10,30,204912,19,191401,11,13511
ltla,City of Edinburgh,S12000036,2023-03-09,22,204882,17,191382,5,13500
ltla,City of Edinburgh,S12000036,2023-03-08,19,204860,12,191365,7,13495
ltla,City of Edinburgh,S12000036,2023-03-07,24,204841,14,191353,10,13488
ltla,City of Edinburgh,S12000036,2023-03-06,22,204817,17,191339,5,13478
ltla,City of Edinburgh,S12000036,2023-03-05,17,204795,7,191322,10,13473
ltla,City of Edinburgh,S12000036,2023-03-04,12,204778,4,191315,8,13463
ltla,City of Edinburgh,S12000036,2023-03-03,16,204766,10,191311,6,13455
ltla,City of Edinburgh,S12000036,2023-03-02,16,204750,10,191301,6,13449
ltla,City of Edinburgh,S12000036,2023-03-01,27,204734,19,191291,8,13443
ltla,City of Edinburgh,S12000036,2023-02-28,25,204707,14,191272,11,13435
ltla,City of Edinburgh,S12000036,2023-02-27,27,204682,14,191258,13,13424
ltla,City of Edinburgh,S12000036,2023-02-26,25,204655,12,191244,13,13411
ltla,City of Edinburgh,S12000036,2023-02-25,12,204630,12,191232,0,13398
ltla,City of Edinburgh,S12000036,2023-02-24,16,204618,7,191220,9,13398
ltla,City of Edinburgh,S12000036,2023-02-23,26,204602,17,191213,9,13389
ltla,City of Edinburgh,S12000036,2023-02-22,21,204576,13,191196,8,13380
ltla,City of Edinburgh,S12000036,2023-02-21,28,204555,15,191183,13,13372
ltla,City of Edinburgh,S12000036,2023-02-20,24,204527,16,191168,8,13359
ltla,City of Edinburgh,S12000036,2023-02-19,14,204503,9,191152,5,13351
ltla,City of Edinburgh,S12000036,2023-02-18,14,204489,9,191143,5,13346
ltla,City of Edinburgh,S12000036,2023-02-17,19,204475,14,191134,5,13341
ltla,City of Edinburgh,S12000036,2023-02-16,18,204456,11,191120,7,13336
ltla,City of Edinburgh,S12000036,2023-02-15,21,204438,14,191109,7,13329
ltla,City of Edinburgh,S12000036,2023-02-14,27,204417,15,191095,12,13322
ltla,City of Edinburgh,S12000036,2023-02-13,18,204390,14,191080,4,13310
ltla,City of Edinburgh,S12000036,2023-02-12,18,204372,11,191066,7,13306
ltla,City of Edinburgh,S12000036,2023-02-11,14,204354,10,191055,4,13299
ltla,City of Edinburgh,S12000036,2023-02-10,16,204340,11,191045,5,13295
ltla,City of Edinburgh,S12000036,2023-02-09,22,204324,19,191034,3,13290
ltla,City of Edinburgh,S12000036,2023-02-08,32,204302,23,191015,9,13287
ltla,City of Edinburgh,S12000036,2023-02-07,18,204270,13,190992,5,13278
ltla,City of Edinburgh,S12000036,2023-02-06,47,204252,32,190979,15,13273
ltla,City of Edinburgh,S12000036,2023-02-05,21,204205,14,190947,7,13258
ltla,City of Edinburgh,S12000036,2023-02-04,19,204184,10,190933,9,13251
ltla,City of Edinburgh,S12000036,2023-02-03,26,204165,19,190923,7,13242
ltla,City of Edinburgh,S12000036,2023-02-02,22,204139,13,190904,9,13235
ltla,City of Edinburgh,S12000036,2023-02-01,17,204117,12,190891,5,13226
ltla,City of Edinburgh,S12000036,2023-01-31,15,204100,11,190879,4,13221
ltla,City of Edinburgh,S12000036,2023-01-30,19,204085,14,190868,5,13217
ltla,City of Edinburgh,S12000036,2023-01-29,18,204066,10,190854,8,13212
ltla,City of Edinburgh,S12000036,2023-01-28,12,204048,6,190844,6,13204
ltla,City of Edinburgh,S12000036,2023-01-27,14,204036,9,190838,5,13198
ltla,City of Edinburgh,S12000036,2023-01-26,19,204022,14,190829,5,13193
ltla,City of Edinburgh,S12000036,2023-01-25,13,204003,7,190815,6,13188
ltla,City of Edinburgh,S12000036,2023-01-24,21,203990,17,190808,4,13182
ltla,City of Edinburgh,S12000036,2023-01-23,27,203969,15,190791,12,13178
ltla,City of Edinburgh,S12000036,2023-01-22,14,203942,7,190776,7,13166
ltla,City of Edinburgh,S12000036,2023-01-21,11,203928,7,190769,4,13159
ltla,City of Edinburgh,S12000036,2023-01-20,9,203917,6,190762,3,13155
ltla,City of Edinburgh,S12000036,2023-01-19,10,203908,7,190756,3,13152
ltla,City of Edinburgh,S12000036,2023-01-18,16,203898,11,190749,5,13149
ltla,City of Edinburgh,S12000036,2023-01-17,14,203882,10,190738,4,13144
ltla,City of Edinburgh,S12000036,2023-01-16,14,203868,8,190728,6,13140
ltla,City of Edinburgh,S12000036,2023-01-15,13,203854,12,190720,1,13134
