areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
ltla,Glasgow City,S12000049,2023-04-16,22,263440,11,238851,11,24589
ltla,Glasgow City,S12000049,2023-04-15,14,263418,11,238840,3,24578
ltla,Glasgow City,S12000049,2023-04-14,23,263404,15,238829,8,24575
ltla,Glasgow City,S12000049,2023-04-13,27,263381,11,238814,16,24567
ltla,Glasgow City,S12000049,2023-04-12,31,263354,20,238803,11,24551
ltla,Glasgow City,S12000049,2023-04-11,30,263323,13,238783,17,24540
ltla,Glasgow City,S12000049,2023-04-10,29,263293,18,238770,11,24523
ltla,Glasgow City,S12000049,2023-04-09,24,263264,14,238752,10,24512
ltla,Glasgow City,S12000049,2023-04-08,10,263240,2,238738,8,24502
ltla,Glasgow City,S12000049,2023-04-07,24,263230,17,238736,7,24494
ltla,Glasgow City,S12000049,2023-04-06,52,263206,37,238719,15,24487
ltla,Glasgow City,S12000049,2023-04-05,47,263154,35,238682,12,24472
ltla,Glasgow City,S12000049,2023-04-04,23,263107,13,238647,10,24460
ltla,Glasgow City,S12000049,2023-04-03,24,263084,17,238634,7,24450
ltla,Glasgow City,S12000049,2023-04-02,23,263060,8,238617,15,24443
ltla,Glasgow City,S12000049,2023-04-01,25,263037,17,238609,8,24428
ltla,Glasgow City,S12000049,2023-03-31,34,263012,22,238592,12,24420
ltla,Glasgow City,S12000049,2023-03-30,46,262978,26,238570,20,24408
ltla,Glasgow City,S12000049,2023-03-29,42,262932,24,238544,18,24388
ltla,Glasgow City,S12000049,2023-03-28,45,262890,31,238520,14,24370
ltla,Glasgow City,S12000049,2023-03-27,39,262845,25,238489,14,24356
ltla,Glasgow City,S12000049,2023-03-26,50,262806,28,238464,22,24342
ltla,Glasgow City,S12000049,2023-03-25,32,262756,15,238436,17,24320
ltla,Glasgow City,S12000049,2023-03-24,57,262724,34,238421,23,24303
ltla,Glasgow City,S12000049,2023-03-23,49,262667,26,238387,23,24280
ltla,Glasgow City,S12000049,2023-03-22,76,262618,48,238361,28,24257
ltla,Glasgow City,S12000049,2023-03-21,73,262542,40,238313,33,24229
ltla,Glasgow City,S12000049,2023-03-20,65,262469,37,238273,28,24196
ltla,Glasgow City,S12000049,2023-03-19,63,262404,43,238236,20,24168
ltla,Glasgow City,S12000049,2023-03-18,41,262341,25,238193,16,24148
ltla,Glasgow City,S12000049,2023-03-17,56,262300,31,238168,25,24132
ltla,Glasgow City,S12000049,2023-03-16,51,262244,29,238137,22,24107
ltla,Glasgow City,S12000049,2023-03-15,50,262193,30,238108,20,24085
ltla,Glasgow City,S12000049,2023-03-14,52,262143,32,238078,20,24065
ltla,Glasgow City,S12000049,2023-03-13,70,262091,42,238046,28,24045
ltla,Glasgow City,S12000049,2023-03-12,43,262021,25,238004,18,24017
ltla,Glasgow City,S12000049,2023-03-11,26,261978,17,237979,9,23999
ltla,Glasgow City,S12000049,2023-03-10,62,261952,42,237962,20,23990
ltla,Glasgow City,S12000049,2023-03-09,41,261890,28,237920,13,23970
ltla,Glasgow City,S12000049,2023-03-08,41,261849,25,237892,16,23957
ltla,Glasgow City,S12000049,2023-03-07,51,261808,33,237867,18,23941
ltla,Glasgow City,S12000049,2023-03-06,43,261757,25,237834,18,23923
ltla,Glasgow City,S12000049,2023-03-05,35,261714,23,237809,12,23905
ltla,Glasgow City,S12000049,2023-03-04,30,261679,16,237786,14,23893
ltla,Glasgow City,S12000049,2023-03-03,35,261649,16,237770,19,23879
ltla,Glasgow City,S12000049,2023-03-02,28,261614,17,237754,11,23860
ltla,Glasgow City,S12000049,2023-03-01,44,261586,25,237737,19,23849
ltla,Glasgow City,S12000049,2023-02-28,58,261542,36,237712,22,23830
ltla,Glasgow City,S12000049,2023-02-27,42,261484,19,237676,23,23808
ltla,Glasgow City,S12000049,2023-02-26,23,261442,13,237657,10,23785
