areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
region,London,E12000007,2023-05-03,79,3155484,43,2932638,36,222846
region,London,E12000007,2023-05-02,168,3155405,93,2932595,75,222810
region,London,E12000007,2023-05-01,195,3155237,99,2932502,96,222735
region,London,E12000007,2023-04-30,129,3155042,88,2932403,41,222639
region,London,E12000007,2023-04-29,139,3154913,86,2932315,53,222598
region,London,E12000007,2023-04-28,141,3154774,85,2932229,56,222545
region,London,E12000007,2023-04-27,184,3154633,121,2932144,63,222489
region,London,E12000007,2023-04-26,167,3154449,104,2932023,63,222426
region,London,E12000007,2023-04-25,183,3154282,112,2931919,71,222363
region,London,E12000007,2023-04-24,190,3154099,115,2931807,75,222292
region,London,E12000007,2023-04-23,179,3153909,106,2931692,73,222217
region,London,E12000007,2023-04-22,143,3153730,89,2931586,54,222144
region,London,E12000007,2023-04-21,141,3153587,82,2931497,59,222090
region,London,E12000007,2023-04-20,170,3153446,112,2931415,58,222031
region,London,E12000007,2023-04-19,198,3153276,122,2931303,76,221973
region,London,E12000007,2023-04-18,195,3153078,119,2931181,76,221897
region,London,E12000007,2023-04-17,206,3152883,123,2931062,83,221821
region,London,E12000007,2023-04-16,188,3152677,115,2930939,73,221738
region,London,E12000007,2023-04-15,123,3152489,75,2930824,48,221665
region,London,E12000007,2023-04-14,166,3152366,104,2930749,62,221617
region,London,E12000007,2023-04-13,191,3152200,112,2930645,79,221555
region,London,E12000007,2023-04-12,162,3152009,97,2930533,65,221476
region,London,E12000007,2023-04-11,233,3151847,146,2930436,87,221411
region,London,E12000007,2023-04-10,171,3151614,98,2930290,73,221324
region,London,E12000007,2023-04-09,153,3151443,106,2930192,47,221251
region,London,E12000007,2023-04-08,130,3151290,76,2930086,54,221204
region,London,E12000007,2023-04-07,171,3151160,102,2930010,69,221150
region,London,E12000007,2023-04-06,178,3150989,115,2929908,63,221081
region,London,E12000007,2023-04-05,179,3150811,106,2929793,73,221018
region,London,E12000007,2023-04-04,198,3150632,119,2929687,79,220945
region,London,E12000007,2023-04-03,200,3150434,132,2929568,68,220866
region,London,E12000007,2023-04-02,226,3150234,133,2929436,93,220798
region,London,E12000007,2023-04-01,184,3150008,115,2929303,69,220705
region,London,E12000007,2023-03-31,228,3149824,145,2929188,83,220636
region,London,E12000007,2023-03-30,273,3149596,169,2929043,104,220553
region,London,E12000007,2023-03-29,308,3149323,186,2928874,122,220449
region,London,E12000007,2023-03-28,306,3149015,191,2928688,115,220327
region,London,E12000007,2023-03-27,334,3148709,203,2928497,131,220212
region,London,E12000007,2023-03-26,278,3148375,172,2928294,106,220081
region,London,E12000007,2023-03-25,278,3148097,189,2928122,89,219975
region,London,E12000007,2023-03-24,338,3147819,215,2927933,123,219886
region,London,E12000007,2023-03-23,344,3147481,205,2927718,139,219763
region,London,E12000007,2023-03-22,402,3147137,233,2927513,169,219624
region,London,E12000007,2023-03-21,416,3146735,255,2927280,161,219455
region,London,E12000007,2023-03-20,409,3146319,248,2927025,161,219294
region,London,E12000007,2023-03-19,376,3145910,231,2926777,145,219133
region,London,E12000007,2023-03-18,310,3145534,190,2926546,120,218988
region,London,E12000007,2023-03-17,348,3145224,206,2926356,142,218868
region,London,E12000007,2023-03-16,424,3144876,237,2926150,187,218726
region,London,E12000007,2023-03-15,414,3144452,266,2925913,148,218539
region,London,E12000007,2023-03-14,519,3144038,287,2925647,232,218391
region,London,E12000007,2023-03-13,549,3143519,345,2925360,204,218159
region,London,E12000007,2023-03-12,421,3142970,246,2925015,175,217955
region,London,E12000007,2023-03-11,296,3142549,182,2924769,114,217780
region,London,E12000007,2023-03-10,382,3142253,228,2924587,154,217666
region,London,E12000007,2023-03-09,458,3141871,267,2924359,191,217512
region,London,E12000007,2023-03-08,401,3141413,236,2924092,165,217321
region,London,E12000007,2023-03-07,458,3141012,273,2923856,185,217156
region,London,E12000007,2023-03-06,512,3140554,309,2923583,203,216971
region,London,E12000007,2023-03-05,386,3140042,211,2923274,175,216768
region,London,E12000007,2023-03-04,315,3139656,191,2923063,124,216593
region,London,E12000007,2023-03-03,344,3139341,196,2922872,148,216469
region,London,E12000007,2023-03-02,406,3138997,243,2922676,163,216321
region,London,E12000007,2023-03-01,394,3138591,225,2922433,169,216158
region,London,E12000007,2023-02-28,440,3138197,242,2922208,198,215989
region,London,E12000007,2023-02-27,499,3137757,293,2921966,206,215791
region,London,E12000007,2023-02-26,344,3137258,188,2921673,156,215585
region,London,E12000007,2023-02-25,281,3136914,164,2921485,117,215429
region,London,E12000007,2023-02-24,339,3136633,190,2921321,149,215312
region,London,E12000007,2023-02-23,365,3136294,214,2921131,151,215163
region,London,E12000007,2023-02-22,475,3135929,255,2920917,220,215012
region,London,E12000007,2023-02-21,519,3135454,301,2920662,218,214792
region,London,E12000007,2023-02-20,540,3134935,325,2920361,215,214574
region,London,E12000007,2023-02-19,456,3134395,253,2920036,203,214359
region,London,E12000007,2023-02-18,383,3133939,244,2919783,139,214156
region,London,E12000007,2023-02-17,445,3133556,251,2919539,194,214017
region,London,E12000007,2023-02-16,442,3133111,271,2919288,171,213823
region,London,E12000007,2023-02-15,445,3132669,272,2919017,173,213652
region,London,E12000007,2023-02-14,515,3132224,297,2918745,218,213479
region,London,E12000007,2023-02-13,523,3131709,295,2918448,228,213261
region,London,E12000007,2023-02-12,305,3131186,180,2918153,125,213033
region,London,E12000007,2023-02-11,306,3130881,183,2917973,123,212908
region,London,E12000007,2023-02-10,331,3130575,194,2917790,137,212785
region,London,E12000007,2023-02-09,346,3130244,201,2917596,145,212648
region,London,E12000007,2023-02-08,376,3129898,212,2917395,164,212503
region,London,E12000007,2023-02-07,339,3129522,198,2917183,141,212339
region,London,E12000007,2023-02-06,392,3129183,218,2916985,174,212198
region,London,E12000007,2023-02-05,353,3128791,192,2916767,161,212024
region,London,E12000007,2023-02-04,233,3128438,136,2916575,97,211863
region,London,E12000007,2023-02-03,330,3128205,192,2916439,138,211766
region,London,E12000007,2023-02-02,346,3127875,219,2916247,127,211628
region,London,E12000007,2023-02-01,382,3127529,224,2916028,158,211501
region,London,E12000007,2023-01-31,335,3127147,207,2915804,128,211343
region,London,E12000007,2023-01-30,335,3126812,183,2915597,152,211215
region,London,E12000007,2023-01-29,245,3126477,127,2915414,118,211063
region,London,E12000007,2023-01-28,197,3126232,124,2915287,73,210945
region,London,E12000007,2023-01-27,241,3126035,154,2915163,87,210872
region,London,E12000007,2023-01-26,270,3125794,157,2915009,113,210785
region,London,E12000007,2023-01-25,253,3125524,145,2914852,108,210672
region,London,E12000007,2023-01-24,281,3125271,169,2914707,112,210564
region,London,E12000007,2023-01-23,263,3124990,146,2914538,117,210452
region,London,E12000007,2023-01-22,170,3124727,95,2914392,75,210335
region,London,E12000007,2023-01-21,116,3124557,66,2914297,50,210260
region,London,E12000007,2023-01-20,158,3124441,105,2914231,53,210210
region,London,E12000007,2023-01-19,195,3124283,117,2914126,78,210157
region,London,E12000007,2023-01-18,190,3124088,121,2914009,69,210079
region,London,E12000007,2023-01-17,189,3123898,111,2913888,78,210010
region,London,E12000007,2023-01-16,215,3123709,134,2913777,81,209932
region,London,E12000007,2023-01-15,197,3123494,121,2913643,76,209851
region,London,E12000007,2023-01-14,138,3123297,84,2913522,54,209775
region,London,E12000007,2023-01-13,186,3123159,118,2913438,68,209721
region,London,E12000007,2023-01-12,244,3122973,138,2913320,106,209653
region,London,E12000007,2023-01-11,275,3122729,177,2913182,98,209547
region,London,E12000007,2023-01-10,274,3122454,169,2913005,105,209449
region,London,E12000007,2023-01-09,302,3122180,187,2912836,115,209344
region,London,E12000007,2023-01-08,301,3121878,191,2912649,110,209229
region,London,E12000007,2023-01-07,248,3121577,180,2912458,68,209119
region,London,E12000007,2023-01-06,344,3121329,203,2912278,141,209051
region,London,E12000007,2023-01-05,421,3120985,252,2912075,169,208910
