areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
ltla,Manchester,E08000003,2023-05-03,6,208469,1,191608,5,16861
ltla,Manchester,E08000003,2023-05-02,7,208463,6,191607,1,16856
ltla,Manchester,E08000003,2023-05-01,10,208456,4,191601,6,16855
ltla,Manchester,E08000003,2023-04-30,6,208446,3,191597,3,16849
ltla,Manchester,E08000003,2023-04-29,7,208440,6,191594,1,16846
ltla,Manchester,E08000003,2023-04-28,7,208433,4,191588,3,16845
ltla,Manchester,E08000003,2023-04-27,5,208426,4,191584,1,16842
ltla,Manchester,E08000003,2023-04-26,10,208421,5,191580,5,16841
ltla,Manchester,E08000003,2023-04-25,19,208411,10,191575,9,16836
ltla,Manchester,E08000003,2023-04-24,10,208392,9,191565,1,16827
ltla,Manchester,E08000003,2023-04-23,5,208382,3,191556,2,16826
ltla,Manchester,E08000003,2023-04-22,10,208377,7,191553,3,16824
ltla,Manchester,E08000003,2023-04-21,12,208367,11,191546,1,16821
ltla,Manchester,E08000003,2023-04-20,8,208355,5,191535,3,16820
ltla,Manchester,E08000003,2023-04-19,11,208347,5,191530,6,16817
ltla,Manchester,E08000003,2023-04-18,14,208336,8,191525,6,16811
ltla,Manchester,E08000003,2023-04-17,13,208322,8,191517,5,16805
ltla,Manchester,E08000003,2023-04-16,11,208309,7,191509,4,16800
ltla,Manchester,E08000003,2023-04-15,8,208298,4,191502,4,16796
ltla,Manchester,E08000003,2023-04-14,10,208290,6,191498,4,16792
ltla,Manchester,E08000003,2023-04-13,4,208280,3,191492,1,16788
ltla,Manchester,E08000003,2023-04-12,24,208276,14,191489,10,16787
ltla,Manchester,E08000003,2023-04-11,14,208252,10,191475,4,16777
ltla,Manchester,E08000003,2023-04-10,17,208238,13,191465,4,16773
ltla,Manchester,E08000003,2023-04-09,15,208221,12,191452,3,16769
ltla,Manchester,E08000003,2023-04-08,11,208206,8,191440,3,16766
ltla,Manchester,E08000003,2023-04-07,9,208195,3,191432,6,16763
ltla,Manchester,E08000003,2023-04-06,11,208186,9,191429,2,16757
ltla,Manchester,E08000003,2023-04-05,17,208175,11,191420,6,16755
ltla,Manchester,E08000003,2023-04-04,14,208158,11,191409,3,16749
ltla,Manchester,E08000003,2023-04-03,17,208144,10,191398,7,16746
ltla,Manchester,E08000003,2023-04-02,13,208127,9,191388,4,16739
ltla,Manchester,E08000003,2023-04-01,14,208114,11,191379,3,16735
ltla,Manchester,E08000003,2023-03-31,16,208100,11,191368,5,16732
ltla,Manchester,E08000003,2023-03-30,20,208084,12,191357,8,16727
ltla,Manchester,E08000003,2023-03-29,20,208064,13,191345,7,16719
ltla,Manchester,E08000003,2023-03-28,16,208044,12,191332,4,16712
ltla,Manchester,E08000003,2023-03-27,17,208028,8,191320,9,16708
ltla,Manchester,E08000003,2023-03-26,22,208011,11,191312,11,16699
ltla,Manchester,E08000003,2023-03-25,19,207989,16,191301,3,16688
ltla,Manchester,E08000003,2023-03-24,13,207970,5,191285,8,16685
ltla,Manchester,E08000003,2023-03-23,24,207957,11,191280,13,16677
ltla,Manchester,E08000003,2023-03-22,23,207933,16,191269,7,16664
ltla,Manchester,E08000003,2023-03-21,28,207910,12,191253,16,16657
ltla,Manchester,E08000003,2023-03-20,30,207882,15,191241,15,16641
ltla,Manchester,E08000003,2023-03-19,30,207852,12,191226,18,16626
ltla,Manchester,E08000003,2023-03-18,12,207822,6,191214,6,16608
ltla,Manchester,E08000003,2023-03-17,12,207810,7,191208,5,16602
ltla,Manchester,E08000003,2023-03-16,25,207798,10,191201,15,16597
ltla,Manchester,E08000003,2023-03-15,33,207773,17,191191,16,16582
ltla,Manchester,E08000003,2023-03-14,28,207740,20,191174,8,16566
ltla,Manchester,E08000003,2023-03-13,36,207712,22,191154,14,16558
ltla,Manchester,E08000003,2023-03-12,17,207676,11,191132,6,16544
ltla,Manchester,E08000003,2023-03-11,23,207659,11,191121,12,16538
ltla,Manchester,E08000003,2023-03-10,28,207636,15,191110,13,16526
ltla,Manchester,E08000003,2023-03-09,35,207608,24,191095,11,16513
ltla,Manchester,E08000003,2023-03-08,22,207573,18,191071,4,16502
ltla,Manchester,E08000003,2023-03-07,34,207551,18,191053,16,16498
ltla,Manchester,E08000003,2023-03-06,37,207517,17,191035,20,16482
ltla,Manchester,E08000003,2023-03-05,13,207480,7,191018,6,16462
ltla,Manchester,E08000003,2023-03-04,21,207467,9,191011,12,16456
ltla,Manchester,E08000003,2023-03-03,26,207446,13,191002,13,16444
ltla,Manchester,E08000003,2023-03-02,23,207420,14,190989,9,16431
ltla,Manchester,E08000003,2023-03-01,19,207397,11,190975,8,16422
ltla,Manchester,E08000003,2023-02-28,26,207378,13,190964,13,16414
ltla,Manchester,E08000003,2023-02-27,26,207352,14,190951,12,16401
ltla,Manchester,E08000003,2023-02-26,18,207326,8,190937,10,16389
ltla,Manchester,E08000003,2023-02-25,11,207308,6,190929,5,16379
ltla,Manchester,E08000003,2023-02-24,13,207297,6,190923,7,16374
ltla,Manchester,E08000003,2023-02-23,17,207284,9,190917,8,16367
ltla,Manchester,E08000003,2023-02-22,22,207267,7,190908,15,16359
ltla,Manchester,E08000003,2023-02-21,52,207245,27,190901,25,16344
ltla,Manchester,E08000003,2023-02-20,30,207193,18,190874,12,16319
ltla,Manchester,E08000003,2023-02-19,18,207163,6,190856,12,16307
ltla,Manchester,E08000003,2023-02-18,25,207145,19,190850,6,16295
