areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
ltla,Nottingham,E06000018,2023-05-10,4,120366,2,110444,2,9922
ltla,Nottingham,E06000018,2023-05-09,5,120362,4,110442,1,9920
ltla,Nottingham,E06000018,2023-05-08,8,120357,5,110438,3,9919
ltla,Nottingham,E06000018,2023-05-07,4,120349,3,110433,1,9916
ltla,Nottingham,E06000018,2023-05-06,5,120345,5,110430,0,9915
ltla,Nottingham,E06000018,2023-05-05,8,120340,5,110425,3,9915
ltla,Nottingham,E06000018,2023-05-04,14,120332,8,110420,6,9912
ltla,Nottingham,E06000018,2023-05-03,7,120318,4,110412,3,9906
ltla,Nottingham,E06000018,2023-05-02,7,120311,4,110408,3,9903
ltla,Nottingham,E06000018,2023-05-01,9,120304,5,110404,4,9900
ltla,Nottingham,E06000018,2023-04-30,3,120295,2,110399,1,9896
ltla,Nottingham,E06000018,2023-04-29,3,120292,0,110397,3,120292
ltla,Nottingham,E06000018,2023-04-28,6,120289,2,110397,4,9892
ltla,Nottingham,E06000018,2023-04-27,7,120283,4,110395,3,9888
ltla,Nottingham,E06000018,2023-04-26,6,120276,5,110391,1,9885
ltla,Nottingham,E06000018,2023-04-25,11,120270,4,110386,7,9884
ltla,Nottingham,E06000018,2023-04-24,12,120259,8,110382,4,9877
ltla,Nottingham,E06000018,2023-04-23,5,120247,2,110374,3,9873
ltla,Nottingham,E06000018,2023-04-22,6,120242,4,110372,2,9870
ltla,Nottingham,E06000018,2023-04-21,4,120236,2,110368,2,9868
ltla,Nottingham,E06000018,2023-04-20,5,120232,3,110366,2,9866
ltla,Nottingham,E06000018,2023-04-19,17,120227,11,110363,6,9864
ltla,Nottingham,E06000018,2023-04-18,4,120210,2,110352,2,9858
ltla,Nottingham,E06000018,2023-04-17,17,120206,11,110350,6,9856
ltla,Nottingham,E06000018,2023-04-16,6,120189,4,110339,2,9850
ltla,Nottingham,E06000018,2023-04-15,7,120183,6,110335,1,9848
ltla,Nottingham,E06000018,2023-04-14,5,120176,2,110329,3,9847
ltla,Nottingham,E06000018,2023-04-13,5,120171,1,110327,4,9844
ltla,Nottingham,E06000018,2023-04-12,10,120166,7,110326,3,9840
ltla,Nottingham,E06000018,2023-04-11,12,120156,11,110319,1,9837
ltla,Nottingham,E06000018,2023-04-10,19,120144,9,110308,10,9836
ltla,Nottingham,E06000018,2023-04-09,11,120125,8,110299,3,9826
ltla,Nottingham,E06000018,2023-04-08,13,120114,12,110291,1,9823
ltla,Nottingham,E06000018,2023-04-07,9,120101,4,110279,5,9822
ltla,Nottingham,E06000018,2023-04-06,12,120092,9,110275,3,9817
ltla,Nottingham,E06000018,2023-04-05,7,120080,5,110266,2,9814
ltla,Nottingham,E06000018,2023-04-04,14,120073,11,110261,3,9812
ltla,Nottingham,E06000018,2023-04-03,17,120059,13,110250,4,9809
ltla,Nottingham,E06000018,2023-04-02,20,120042,10,110237,10,9805
ltla,Nottingham,E06000018,2023-04-01,10,120022,9,110227,1,9795
ltla,Nottingham,E06000018,2023-03-31,11,120012,7,110218,4,9794
ltla,Nottingham,E06000018,2023-03-30,15,120001,9,110211,6,9790
ltla,Nottingham,E06000018,2023-03-29,16,119986,12,110202,4,9784
ltla,Nottingham,E06000018,2023-03-28,18,119970,10,110190,8,9780
ltla,Nottingham,E06000018,2023-03-27,8,119952,5,110180,3,9772
ltla,Nottingham,E06000018,2023-03-26,12,119944,10,110175,2,9769
ltla,Nottingham,E06000018,2023-03-25,12,119932,4,110165,8,9767
ltla,Nottingham,E06000018,2023-03-24,21,119920,16,110161,5,9759
ltla,Nottingham,E06000018,2023-03-23,25,119899,15,110145,10,9754
ltla,Nottingham,E06000018,2023-03-22,14,119874,10,110130,4,9744
ltla,Nottingham,E06000018,2023-03-21,22,119860,9,110120,13,9740
ltla,Nottingham,E06000018,2023-03-20,22,119838,14,110111,8,9727
ltla,Nottingham,E06000018,2023-03-19,15,119816,7,110097,8,9719
ltla,Nottingham,E06000018,2023-03-18,11,119801,5,110090,6,9711
ltla,Nottingham,E06000018,2023-03-17,8,119790,3,110085,5,9705
ltla,Nottingham,E06000018,2023-03-16,19,119782,11,110082,8,9700
ltla,Nottingham,E06000018,2023-03-15,19,119763,12,110071,7,9692
ltla,Nottingham,E06000018,2023-03-14,17,119744,13,110059,4,9685
ltla,Nottingham,E06000018,2023-03-13,20,119727,13,110046,7,9681
ltla,Nottingham,E06000018,2023-03-12,15,119707,8,110033,7,9674
ltla,Nottingham,E06000018,2023-03-11,18,119692,11,110025,7,9667
ltla,Nottingham,E06000018,2023-03-10,14,119674,10,110014,4,9660
ltla,Nottingham,E06000018,2023-03-09,14,119660,6,110004,8,9656
ltla,Nottingham,E06000018,2023-03-08,16,119646,10,109998,6,9648
ltla,Nottingham,E06000018,2023-03-07,16,119630,11,109988,5,9642
ltla,Nottingham,E06000018,2023-03-06,19,119614,11,109977,8,9637
ltla,Nottingham,E06000018,2023-03-05,13,119595,10,109966,3,9629
ltla,Nottingham,E06000018,2023-03-04,8,119582,3,109956,5,9626
ltla,Nottingham,E06000018,2023-03-03,5,119574,4,109953,1,9621
ltla,Nottingham,E06000018,2023-03-02,8,119569,4,109949,4,9620
ltla,Nottingham,E06000018,2023-03-01,17,119561,8,109945,9,9616
ltla,Nottingham,E06000018,2023-02-28,20,119544,14,109937,6,9607
