specimen_collection_date,new_cases,cumulative_cases,data_as_of,data_loaded_at
03/04/2020 12:00:00 AM,0,2,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
03/07/2020 12:00:00 AM,5,13,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
03/10/2020 12:00:00 AM,6,20,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
03/13/2020 12:00:00 AM,16,54,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
03/16/2020 12:00:00 AM,41,116,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
03/19/2020 12:00:00 AM,19,184,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
03/22/2020 12:00:00 AM,26,262,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
03/25/2020 12:00:00 AM,44,380,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
03/28/2020 12:00:00 AM,17,472,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
03/31/2020 12:00:00 AM,55,584,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
04/03/2020 12:00:00 AM,26,688,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
04/06/2020 12:00:00 AM,52,791,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
04/09/2020 12:00:00 AM,76,990,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
04/12/2020 12:00:00 AM,18,1059,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
04/15/2020 12:00:00 AM,53,1191,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
04/18/2020 12:00:00 AM,14,1275,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
04/21/2020 12:00:00 AM,30,1376,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
04/24/2020 12:00:00 AM,36,1490,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
04/27/2020 12:00:00 AM,36,1608,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
04/30/2020 12:00:00 AM,39,1769,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
05/03/2020 12:00:00 AM,11,1860,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
05/06/2020 12:00:00 AM,41,1989,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
05/09/2020 12:00:00 AM,7,2050,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
05/12/2020 12:00:00 AM,54,2136,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
05/15/2020 12:00:00 AM,35,2239,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
05/18/2020 12:00:00 AM,44,2301,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
05/21/2020 12:00:00 AM,26,2401,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
05/24/2020 12:00:00 AM,11,2462,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
05/27/2020 12:00:00 AM,35,2553,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
05/30/2020 12:00:00 AM,22,2631,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
06/02/2020 12:00:00 AM,45,2740,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
06/05/2020 12:00:00 AM,29,2834,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
06/08/2020 12:00:00 AM,35,2901,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
06/11/2020 12:00:00 AM,23,2976,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
06/14/2020 12:00:00 AM,15,3038,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
06/17/2020 12:00:00 AM,50,3171,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
06/20/2020 12:00:00 AM,41,3300,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
06/23/2020 12:00:00 AM,79,3516,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
06/26/2020 12:00:00 AM,69,3712,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
06/29/2020 12:00:00 AM,72,3871,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
07/02/2020 12:00:00 AM,103,4153,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
07/05/2020 12:00:00 AM,51,4311,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
07/08/2020 12:00:00 AM,111,4608,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
07/11/2020 12:00:00 AM,67,4910,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
07/14/2020 12:00:00 AM,161,5277,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
07/17/2020 12:00:00 AM,154,5730,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
07/20/2020 12:00:00 AM,147,6030,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
07/23/2020 12:00:00 AM,122,6407,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
07/26/2020 12:00:00 AM,62,6667,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
07/29/2020 12:00:00 AM,137,6992,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
08/01/2020 12:00:00 AM,66,7299,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
08/04/2020 12:00:00 AM,83,7530,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
08/07/2020 12:00:00 AM,130,7894,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
08/10/2020 12:00:00 AM,103,8117,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
08/13/2020 12:00:00 AM,102,8457,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
